"","decile","count","avg_pre_sales","avg_Actual_sales"
"1",10,5,127.519557510577,158.791468485127
"2",9,5,59.749209260273,57.5662
"3",8,5,45.1986452700489,57.5166
"4",7,4,38.7541978039203,32.2735
"5",6,5,37.7168833043428,107.772468485127
"6",5,5,33.51436575997,34.2794
"7",4,4,27.7427625217549,29.12
"8",3,5,21.5430237003915,31.3532
"9",2,5,15.1511948456769,21.0886
"10",1,5,4.04532091168164,5.0982
