"","decile","count","avg_pre_sales","avg_Actual_sales"
"1",10,11,84.767177047066,73.7536363636364
"2",9,11,56.8677219470904,61.5136363636364
"3",8,11,46.3684633458829,102.412636363636
"4",7,11,39.7935009787626,92.4031818181818
"5",6,11,34.0348231232203,44.9079090909091
"6",5,10,28.0112263735199,43.8125
"7",4,11,22.8606750996177,39.9306363636364
"8",3,11,16.3584800600703,16.4388181818182
"9",2,11,11.346688672881,13.6609090909091
"10",1,11,4.53618402198955,6.48163636363636
